fecha,hora,observacion,temperatura
20111201,1,10939,8.685562
20111201,2,10503,8.005019
20111201,3,10309,6.893907
20111201,4,10306,6.217873
20111201,5,10710,5.662318
20111201,6,11945,5.546204
20111201,7,14023,4.878759
20111201,8,15006,4.111557
20111201,9,15133,4.667112
20111201,10,15175,6.23376
20111201,11,15195,7.248555
20111201,12,15141,8.359666
20111201,13,14980,9.470777
20111201,14,14905,9.933595
20111201,15,14791,10.399876
20111201,16,14937,10.313948
20111201,17,16229,9.120144
20111201,18,17417,8.009033
20111201,19,17402,6.897922
20111201,20,17041,5.786811
20111201,21,16463,5.231255
20111201,22,15407,4.6757
20111201,23,13913,4.288765
20111201,24,12526,3.177654
20111202,1,11624,2.711373
20111202,2,11205,2.155818
20111202,3,10999,2.248555
20111202,4,10998,1.692999
20111202,5,11367,1.692999
20111202,6,12513,-2.137443
20111202,7,14570,-5.23376
20111202,8,15562,0.581888
20111202,9,15660,2.900427
20111202,10,15605,4.770958
20111202,11,15508,6.657315
20111202,12,15371,8.767648
20111202,13,15146,9.990648
20111202,14,15037,11.101759
20111202,15,14920,11.657315
20111202,16,15022,11.101759
20111202,17,16286,10.546204
20111202,18,17052,10.434314
20111202,19,16782,9.435093
20111202,20,16282,9.435093
20111202,21,15716,8.323982
20111202,22,14879,7.21287
20111202,23,13695,6.657315
20111202,24,12420,6.101759
20111203,1,11490,5.546204
20111203,2,10971,4.990648
20111203,3,10712,3.879537
20111203,4,10646,4.323203
20111203,5,10816,3.212092
20111203,6,11308,2.44489
20111203,7,12174,1.889334
20111203,8,13042,1.889334
20111203,9,13935,2.44489
20111203,10,14348,4.770958
20111203,11,14390,5.882069
20111203,12,14231,7.100981
20111203,13,13990,7.656537
20111203,14,13706,8.212092
20111203,15,13599,8.104291
20111203,16,13815,8.104291
20111203,17,15265,7.548735
20111203,18,16300,6.437624
20111203,19,16163,10.878759
20111203,20,15743,9.878759
20111203,21,15281,4.435093
20111203,22,14603,3.212092
20111203,23,13608,2.656537
20111203,24,12503,2.100981
20111204,1,11619,2.100981
20111204,2,11088,2.100981
20111204,3,10814,2.100981
20111204,4,10687,2.21287
20111204,5,10741,2.328984
20111204,6,11065,2.88454
20111204,7,11622,3.005019
20111204,8,12269,3.560574
20111204,9,13213,4.241117
20111204,10,13765,6.171883
20111204,11,13892,8.827913
20111204,12,13870,11.366377
20111204,13,13867,13.033044
20111204,14,13724,14.144155
20111204,15,13584,14.866467
20111204,16,13756,14.866467
20111204,17,15303,13.928112
20111204,18,16513,13.372557
20111204,19,16459,12.440392
20111204,20,16005,11.884836
20111204,21,15396,12.070167
20111204,22,14272,11.514611
20111204,23,12854,12.26208
20111204,24,11584,12.26208
20111205,1,10751,12.26208
20111205,2,10311,10.959056
20111205,3,10134,10.959056
20111205,4,10127,11.706525
20111205,5,10496,10.959056
20111205,6,11658,10.959056
20111205,7,13728,11.706525
20111205,8,14789,10.959056
20111205,9,14988,13.222037
20111205,10,15153,14.546062
20111205,11,15261,16.105531
20111205,12,15257,16.988632
20111205,13,15137,18.099743
20111205,14,15061,19.210854
20111205,15,14904,19.76641
20111205,16,15016,19.76641
20111205,17,16372,18.883309
20111205,18,17500,17.772198
20111205,19,17372,16.661086
20111205,20,16862,16.661086
20111205,21,16112,16.896991
20111205,22,14905,16.341435
20111205,23,13274,15.78588
20111205,24,11793,15.78588
20111206,1,10811,16.341435
20111206,2,10324,16.341435
20111206,3,10070,16.341435
20111206,4,10006,17.141028
20111206,5,10300,17.393443
20111206,6,11376,17.948999
20111206,7,13469,17.948999
20111206,8,14751,18.504555
20111206,9,15025,18.765599
20111206,10,15188,19.591086
20111206,11,15334,20.425723
20111206,12,15365,10.269781
20111206,13,15284,22.123537
20111206,14,15295,22.679092
20111206,15,15246,22.380892
20111206,16,15575,22.380892
20111206,17,16855,21.825336
20111206,18,17515,21.269781
20111206,19,17289,20.714225
20111206,20,16759,20.425723
20111206,21,16006,20.425723
20111206,22,14844,19.870167
20111206,23,13225,19.870167
20111206,24,11748,19.870167
20111207,1,10735,19.870167
20111207,2,10234,19.870167
20111207,3,9967,19.870167
20111207,4,9916,19.03553
20111207,5,10197,19.03553
20111207,6,11252,18.765599
20111207,7,13294,16.585473
20111207,8,14675,16.585473
20111207,9,15035,16.585473
20111207,10,15286,16.585473
20111207,11,15515,16.585473
20111207,12,15568,15.78588
20111207,13,15558,14.99442
